Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,307,10
2,Valtteri Bottas,Mercedes,197,2
3,Max Verstappen,Red Bull,170,1
4,Sergio Pérez,Racing Point,100,0
5,Charles Leclerc,Ferrari,97,0
6,Daniel Ricciardo,Renault,96,0
7,Carlos Sainz,McLaren,75,0
8,Lando Norris,McLaren,74,0
9,Alexander Albon,Red Bull,70,0
10,Pierre Gasly,AlphaTauri,63,1
11,Lance Stroll,Racing Point,59,0
12,Esteban Ocon,Renault,40,0
13,Sebastian Vettel,Ferrari,33,0
14,Daniil Kvyat,AlphaTauri,26,0
15,Nico Hülkenberg,Racing Point,10,0
16,Kimi Räikkönen,Alfa Romeo,4,0
17,Antonio Giovinazzi,Alfa Romeo,4,0
18,Romain Grosjean,Haas F1 Team,2,0
19,Kevin Magnussen,Haas F1 Team,1,0
20,Nicholas Latifi,Williams,0,0
21,George Russell,Williams,0,0
