Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,302,9
2,Sebastian Vettel,Ferrari,236,3
3,Nico Rosberg,Mercedes,229,3
4,Kimi Räikkönen,Ferrari,123,0
5,Valtteri Bottas,Williams,111,0
6,Felipe Massa,Williams,109,0
7,Daniil Kvyat,Red Bull,76,0
8,Daniel Ricciardo,Red Bull,73,0
9,Sergio Pérez,Force India,54,0
10,Romain Grosjean,Lotus F1,44,0
11,Nico Hülkenberg,Force India,38,0
12,Max Verstappen,Toro Rosso,33,0
13,Felipe Nasr,Sauber,25,0
14,Pastor Maldonado,Lotus F1,22,0
15,Carlos Sainz,Toro Rosso,12,0
16,Fernando Alonso,McLaren,11,0
17,Marcus Ericsson,Sauber,9,0
18,Jenson Button,McLaren,8,0
19,Roberto Merhi,Manor Marussia,0,0
20,Will Stevens,Manor Marussia,0,0
21,Alexander Rossi,Manor Marussia,0,0
22,Kevin Magnussen,McLaren,0,0
