Position,Driver,Constructor,Points,Wins
1,Mika Häkkinen,McLaren,64,3
2,Michael Schumacher,Ferrari,62,5
3,David Coulthard,McLaren,58,3
4,Rubens Barrichello,Ferrari,49,1
5,Giancarlo Fisichella,Benetton,18,0
6,Ralf Schumacher,Williams,16,0
7,Jacques Villeneuve,BAR,11,0
8,Jenson Button,Williams,8,0
9,Heinz-Harald Frentzen,Jordan,6,0
10,Jarno Trulli,Jordan,6,0
11,Mika Salo,Sauber,6,0
12,Eddie Irvine,Jaguar,3,0
13,Jos Verstappen,Arrows,2,0
14,Pedro de la Rosa,Arrows,2,0
15,Ricardo Zonta,BAR,1,0
16,Pedro Diniz,Sauber,0,0
17,Alexander Wurz,Benetton,0,0
18,Johnny Herbert,Jaguar,0,0
19,Marc Gené,Minardi,0,0
20,Nick Heidfeld,Prost,0,0
21,Gastón Mazzacane,Minardi,0,0
22,Jean Alesi,Prost,0,0
23,Luciano Burti,Jaguar,0,0
