Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,61,1
2,Fernando Alonso,Ferrari,61,1
3,Lewis Hamilton,McLaren,53,0
4,Kimi Räikkönen,Lotus F1,49,0
5,Mark Webber,Red Bull,48,0
6,Jenson Button,McLaren,45,1
7,Nico Rosberg,Mercedes,41,1
8,Romain Grosjean,Lotus F1,35,0
9,Pastor Maldonado,Williams,29,1
10,Sergio Pérez,Sauber,22,0
11,Kamui Kobayashi,Sauber,19,0
12,Paul di Resta,Force India,15,0
13,Bruno Senna,Williams,14,0
14,Jean-Éric Vergne,Toro Rosso,4,0
15,Nico Hülkenberg,Force India,3,0
16,Daniel Ricciardo,Toro Rosso,2,0
17,Felipe Massa,Ferrari,2,0
18,Michael Schumacher,Mercedes,2,0
19,Timo Glock,Marussia,0,0
20,Charles Pic,Marussia,0,0
21,Vitaly Petrov,Caterham,0,0
22,Heikki Kovalainen,Caterham,0,0
23,Pedro de la Rosa,HRT,0,0
24,Narain Karthikeyan,HRT,0,0
