Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,156,4
2,Lewis Hamilton,Mercedes,138,3
3,Sergio Pérez,Red Bull,96,1
4,Lando Norris,McLaren,86,0
5,Valtteri Bottas,Mercedes,74,0
6,Charles Leclerc,Ferrari,58,0
7,Carlos Sainz,Ferrari,50,0
8,Pierre Gasly,AlphaTauri,37,0
9,Daniel Ricciardo,McLaren,34,0
10,Sebastian Vettel,Aston Martin,30,0
11,Fernando Alonso,Alpine F1 Team,19,0
12,Lance Stroll,Aston Martin,14,0
13,Esteban Ocon,Alpine F1 Team,12,0
14,Yuki Tsunoda,AlphaTauri,9,0
15,Kimi Räikkönen,Alfa Romeo,1,0
16,Antonio Giovinazzi,Alfa Romeo,1,0
17,George Russell,Williams,0,0
18,Mick Schumacher,Haas F1 Team,0,0
19,Nikita Mazepin,Haas F1 Team,0,0
20,Nicholas Latifi,Williams,0,0
