Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,333,9
2,Sebastian Vettel,Ferrari,277,4
3,Valtteri Bottas,Mercedes,262,2
4,Daniel Ricciardo,Red Bull,192,1
5,Kimi Räikkönen,Ferrari,178,0
6,Max Verstappen,Red Bull,148,2
7,Sergio Pérez,Force India,92,0
8,Esteban Ocon,Force India,83,0
9,Carlos Sainz,Toro Rosso,54,0
10,Lance Stroll,Williams,40,0
11,Felipe Massa,Williams,36,0
12,Nico Hülkenberg,Renault,34,0
13,Romain Grosjean,Haas F1 Team,28,0
14,Kevin Magnussen,Haas F1 Team,19,0
15,Stoffel Vandoorne,McLaren,13,0
16,Fernando Alonso,McLaren,11,0
17,Jolyon Palmer,Renault,8,0
18,Pascal Wehrlein,Sauber,5,0
19,Daniil Kvyat,Toro Rosso,5,0
20,Marcus Ericsson,Sauber,0,0
21,Antonio Giovinazzi,Sauber,0,0
22,Pierre Gasly,Toro Rosso,0,0
23,Brendon Hartley,Toro Rosso,0,0
24,Jenson Button,McLaren,0,0
25,Paul di Resta,Williams,0,0
