Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Ferrari,144,11
2,Rubens Barrichello,Ferrari,77,4
3,Juan Pablo Montoya,Williams,50,0
4,Ralf Schumacher,Williams,42,1
5,David Coulthard,McLaren,41,1
6,Kimi Räikkönen,McLaren,24,0
7,Jenson Button,Renault,14,0
8,Jarno Trulli,Renault,9,0
9,Eddie Irvine,Jaguar,8,0
10,Nick Heidfeld,Sauber,7,0
11,Giancarlo Fisichella,Jordan,7,0
12,Jacques Villeneuve,BAR,4,0
13,Felipe Massa,Sauber,4,0
14,Olivier Panis,BAR,3,0
15,Takuma Sato,Jordan,2,0
16,Mark Webber,Minardi,2,0
17,Mika Salo,Toyota,2,0
18,Heinz-Harald Frentzen,Arrows,2,0
19,Allan McNish,Toyota,0,0
20,Alex Yoong,Minardi,0,0
21,Pedro de la Rosa,Jaguar,0,0
22,Enrique Bernoldi,Arrows,0,0
