position,number,driver,constructor,Q1,Q2,Q3
1,5,Sebastian Vettel,Ferrari,1:11.200,1:11.142,1:10.240
2,44,Lewis Hamilton,Mercedes,1:11.518,1:11.010,1:10.446
3,16,Charles Leclerc,Ferrari,1:11.214,1:11.205,1:10.920
4,3,Daniel Ricciardo,Renault,1:11.837,1:11.532,1:11.071
5,10,Pierre Gasly,Red Bull,1:12.023,1:11.196,1:11.079
6,77,Valtteri Bottas,Mercedes,1:11.229,1:11.095,1:11.101
7,27,Nico Hülkenberg,Renault,1:11.720,1:11.553,1:11.324
8,4,Lando Norris,McLaren,1:11.780,1:11.735,1:11.863
9,55,Carlos Sainz,McLaren,1:11.750,1:11.572,1:13.981
10,20,Kevin Magnussen,Haas F1 Team,1:12.107,1:11.786,
11,33,Max Verstappen,Red Bull,1:11.619,1:11.800,
12,26,Daniil Kvyat,Toro Rosso,1:11.965,1:11.921,
13,99,Antonio Giovinazzi,Alfa Romeo,1:12.122,1:12.136,
14,23,Alexander Albon,Toro Rosso,1:12.020,1:12.193,
15,8,Romain Grosjean,Haas F1 Team,1:12.109,,
16,11,Sergio Pérez,Racing Point,1:12.197,,
17,7,Kimi Räikkönen,Alfa Romeo,1:12.230,,
18,18,Lance Stroll,Racing Point,1:12.266,,
19,63,George Russell,Williams,1:13.617,,
20,88,Robert Kubica,Williams,1:14.393,,
