position,number,driver,constructor,Q1,Q2,Q3
1,77,Valtteri Bottas,Mercedes,1:18.722,1:18.458,1:18.348
2,44,Lewis Hamilton,Mercedes,1:18.857,1:17.968,1:18.355
3,33,Max Verstappen,Red Bull,1:19.485,1:18.650,1:18.746
4,11,Sergio Pérez,Red Bull,1:19.337,1:18.845,1:18.890
5,55,Carlos Sainz,Ferrari,1:19.309,1:18.813,1:19.039
6,31,Esteban Ocon,Alpine F1 Team,1:19.092,1:18.586,1:19.042
7,4,Lando Norris,McLaren,1:18.794,1:18.481,1:19.116
8,16,Charles Leclerc,Ferrari,1:19.373,1:18.769,1:19.306
9,10,Pierre Gasly,AlphaTauri,1:19.464,1:19.052,1:19.475
10,5,Sebastian Vettel,Aston Martin,1:19.403,1:18.970,1:19.659
11,63,George Russell,Williams,1:19.797,1:19.109,
12,99,Antonio Giovinazzi,Alfa Romeo,1:19.410,1:19.216,
13,14,Fernando Alonso,Alpine F1 Team,1:19.728,1:19.456,
14,22,Yuki Tsunoda,AlphaTauri,1:19.684,1:19.463,
15,7,Kimi Räikkönen,Alfa Romeo,1:19.748,1:19.812,
16,3,Daniel Ricciardo,McLaren,1:19.839,,
17,18,Lance Stroll,Aston Martin,1:19.913,,
18,6,Nicholas Latifi,Williams,1:20.285,,
19,47,Mick Schumacher,Haas F1 Team,1:20.452,,
20,9,Nikita Mazepin,Haas F1 Team,1:20.912,,
