Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Renault,134,7
2,Michael Schumacher,Ferrari,121,7
3,Felipe Massa,Ferrari,80,2
4,Giancarlo Fisichella,Renault,72,1
5,Kimi Räikkönen,McLaren,65,0
6,Jenson Button,Honda,56,1
7,Rubens Barrichello,Honda,30,0
8,Juan Pablo Montoya,McLaren,26,0
9,Nick Heidfeld,BMW Sauber,23,0
10,Ralf Schumacher,Toyota,20,0
11,Pedro de la Rosa,McLaren,19,0
12,Jarno Trulli,Toyota,15,0
13,David Coulthard,Red Bull,14,0
14,Mark Webber,Williams,7,0
15,Jacques Villeneuve,BMW Sauber,7,0
16,Robert Kubica,BMW Sauber,6,0
17,Nico Rosberg,Williams,4,0
18,Christian Klien,Red Bull,2,0
19,Vitantonio Liuzzi,Toro Rosso,1,0
20,Scott Speed,Toro Rosso,0,0
21,Tiago Monteiro,MF1,0,0
22,Christijan Albers,MF1,0,0
23,Takuma Sato,Super Aguri,0,0
24,Robert Doornbos,Red Bull,0,0
25,Yuji Ide,Super Aguri,0,0
26,Sakon Yamamoto,Super Aguri,0,0
27,Franck Montagny,Super Aguri,0,0
