position,number,driver,constructor,Q1,Q2,Q3
1,1,Max Verstappen,Red Bull,1:05.852,1:05.374,1:04.984
2,16,Charles Leclerc,Ferrari,1:05.419,1:05.287,1:05.013
3,55,Carlos Sainz,Ferrari,1:05.660,1:05.576,1:05.066
4,63,George Russell,Mercedes,1:06.235,1:05.697,1:05.431
5,31,Esteban Ocon,Alpine F1 Team,1:06.468,1:05.993,1:05.726
6,20,Kevin Magnussen,Haas F1 Team,1:06.366,1:05.894,1:05.879
7,47,Mick Schumacher,Haas F1 Team,1:06.405,1:06.151,1:06.011
8,14,Fernando Alonso,Alpine F1 Team,1:06.016,1:06.082,1:06.103
9,44,Lewis Hamilton,Mercedes,1:06.079,1:05.475,1:13.151
10,10,Pierre Gasly,AlphaTauri,1:06.589,1:06.160,
11,23,Alexander Albon,Williams,1:06.516,1:06.230,
12,77,Valtteri Bottas,Alfa Romeo,1:06.442,1:06.319,
13,11,Sergio Pérez,Red Bull,1:06.143,1:06.458,
14,22,Yuki Tsunoda,AlphaTauri,1:06.463,1:06.851,
15,4,Lando Norris,McLaren,1:06.330,1:25.847,
16,3,Daniel Ricciardo,McLaren,1:06.613,,
17,18,Lance Stroll,Aston Martin,1:06.847,,
18,24,Guanyu Zhou,Alfa Romeo,1:06.901,,
19,6,Nicholas Latifi,Williams,1:07.003,,
20,5,Sebastian Vettel,Aston Martin,1:07.083,,
