Position,Driver,Constructor,Points,Wins
1,Jenson Button,Brawn,31,3
2,Rubens Barrichello,Brawn,19,0
3,Sebastian Vettel,Red Bull,18,1
4,Jarno Trulli,Toyota,14.5,0
5,Timo Glock,Toyota,12,0
6,Mark Webber,Red Bull,9.5,0
7,Lewis Hamilton,McLaren,9,0
8,Fernando Alonso,Renault,5,0
9,Nick Heidfeld,BMW Sauber,4,0
10,Heikki Kovalainen,McLaren,4,0
11,Nico Rosberg,Williams,3.5,0
12,Kimi Räikkönen,Ferrari,3,0
13,Sébastien Buemi,Toro Rosso,3,0
14,Sébastien Bourdais,Toro Rosso,1,0
15,Felipe Massa,Ferrari,0,0
16,Adrian Sutil,Force India,0,0
17,Nelson Piquet Jr.,Renault,0,0
18,Giancarlo Fisichella,Force India,0,0
19,Kazuki Nakajima,Williams,0,0
20,Robert Kubica,BMW Sauber,0,0
