Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,408,11
2,Sebastian Vettel,Ferrari,320,5
3,Kimi Räikkönen,Ferrari,251,1
4,Max Verstappen,Red Bull,249,2
5,Valtteri Bottas,Mercedes,247,0
6,Daniel Ricciardo,Red Bull,170,2
7,Nico Hülkenberg,Renault,69,0
8,Sergio Pérez,Force India,62,0
9,Kevin Magnussen,Haas F1 Team,56,0
10,Carlos Sainz,Renault,53,0
11,Fernando Alonso,McLaren,50,0
12,Esteban Ocon,Force India,49,0
13,Charles Leclerc,Sauber,39,0
14,Romain Grosjean,Haas F1 Team,37,0
15,Pierre Gasly,Toro Rosso,29,0
16,Stoffel Vandoorne,McLaren,12,0
17,Marcus Ericsson,Sauber,9,0
18,Lance Stroll,Williams,6,0
19,Brendon Hartley,Toro Rosso,4,0
20,Sergey Sirotkin,Williams,1,0
