Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Ferrari,194,3
2,Sebastian Vettel,Red Bull,165,2
3,Kimi Räikkönen,Lotus F1,149,0
4,Lewis Hamilton,McLaren,142,3
5,Mark Webber,Red Bull,132,2
6,Jenson Button,McLaren,119,2
7,Nico Rosberg,Mercedes,93,1
8,Romain Grosjean,Lotus F1,82,0
9,Sergio Pérez,Sauber,66,0
10,Felipe Massa,Ferrari,51,0
11,Paul di Resta,Force India,44,0
12,Michael Schumacher,Mercedes,43,0
13,Kamui Kobayashi,Sauber,35,0
14,Nico Hülkenberg,Force India,31,0
15,Pastor Maldonado,Williams,29,1
16,Bruno Senna,Williams,25,0
17,Jean-Éric Vergne,Toro Rosso,8,0
18,Daniel Ricciardo,Toro Rosso,6,0
19,Timo Glock,Marussia,0,0
20,Heikki Kovalainen,Caterham,0,0
21,Vitaly Petrov,Caterham,0,0
22,Jérôme d'Ambrosio,Lotus F1,0,0
23,Charles Pic,Marussia,0,0
24,Narain Karthikeyan,HRT,0,0
25,Pedro de la Rosa,HRT,0,0
