Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,240,5
2,Fernando Alonso,Ferrari,227,3
3,Kimi Räikkönen,Lotus F1,173,0
4,Mark Webber,Red Bull,167,2
5,Lewis Hamilton,McLaren,165,3
6,Jenson Button,McLaren,141,2
7,Nico Rosberg,Mercedes,93,1
8,Romain Grosjean,Lotus F1,90,0
9,Felipe Massa,Ferrari,89,0
10,Sergio Pérez,Sauber,66,0
11,Kamui Kobayashi,Sauber,50,0
12,Nico Hülkenberg,Force India,49,0
13,Paul di Resta,Force India,44,0
14,Michael Schumacher,Mercedes,43,0
15,Pastor Maldonado,Williams,33,1
16,Bruno Senna,Williams,26,0
17,Jean-Éric Vergne,Toro Rosso,12,0
18,Daniel Ricciardo,Toro Rosso,9,0
19,Timo Glock,Marussia,0,0
20,Heikki Kovalainen,Caterham,0,0
21,Vitaly Petrov,Caterham,0,0
22,Jérôme d'Ambrosio,Lotus F1,0,0
23,Charles Pic,Marussia,0,0
24,Narain Karthikeyan,HRT,0,0
25,Pedro de la Rosa,HRT,0,0
