Position,Driver,Constructor,Points,Wins
1,Jenson Button,Brawn,80,6
2,Rubens Barrichello,Brawn,66,2
3,Sebastian Vettel,Red Bull,54,2
4,Mark Webber,Red Bull,51.5,1
5,Kimi Räikkönen,Ferrari,40,1
6,Nico Rosberg,Williams,30.5,0
7,Lewis Hamilton,McLaren,27,1
8,Jarno Trulli,Toyota,22.5,0
9,Felipe Massa,Ferrari,22,0
10,Heikki Kovalainen,McLaren,20,0
11,Fernando Alonso,Renault,20,0
12,Timo Glock,Toyota,16,0
13,Nick Heidfeld,BMW Sauber,12,0
14,Giancarlo Fisichella,Force India,8,0
15,Robert Kubica,BMW Sauber,8,0
16,Adrian Sutil,Force India,5,0
17,Sébastien Buemi,Toro Rosso,3,0
18,Sébastien Bourdais,Toro Rosso,2,0
19,Kazuki Nakajima,Williams,0,0
20,Nelson Piquet Jr.,Renault,0,0
21,Luca Badoer,Ferrari,0,0
22,Romain Grosjean,Renault,0,0
23,Jaime Alguersuari,Toro Rosso,0,0
24,Vitantonio Liuzzi,Force India,0,0
