Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,25,1
2,Max Verstappen,Red Bull,18,0
3,Valtteri Bottas,Mercedes,16,0
4,Lando Norris,McLaren,12,0
5,Sergio Pérez,Red Bull,10,0
6,Charles Leclerc,Ferrari,8,0
7,Daniel Ricciardo,McLaren,6,0
8,Carlos Sainz,Ferrari,4,0
9,Yuki Tsunoda,AlphaTauri,2,0
10,Lance Stroll,Aston Martin,1,0
11,Kimi Räikkönen,Alfa Romeo,0,0
12,Antonio Giovinazzi,Alfa Romeo,0,0
13,Esteban Ocon,Alpine F1 Team,0,0
14,George Russell,Williams,0,0
15,Sebastian Vettel,Aston Martin,0,0
16,Mick Schumacher,Haas F1 Team,0,0
17,Pierre Gasly,AlphaTauri,0,0
18,Nicholas Latifi,Williams,0,0
19,Fernando Alonso,Alpine F1 Team,0,0
20,Nikita Mazepin,Haas F1 Team,0,0
