Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,262.5,7
2,Lewis Hamilton,Mercedes,256.5,5
3,Valtteri Bottas,Mercedes,177,1
4,Lando Norris,McLaren,145,0
5,Sergio Pérez,Red Bull,135,1
6,Carlos Sainz,Ferrari,116.5,0
7,Charles Leclerc,Ferrari,116,0
8,Daniel Ricciardo,McLaren,95,1
9,Pierre Gasly,AlphaTauri,74,0
10,Fernando Alonso,Alpine F1 Team,58,0
11,Esteban Ocon,Alpine F1 Team,46,1
12,Sebastian Vettel,Aston Martin,35,0
13,Lance Stroll,Aston Martin,26,0
14,Yuki Tsunoda,AlphaTauri,18,0
15,George Russell,Williams,16,0
16,Nicholas Latifi,Williams,7,0
17,Kimi Räikkönen,Alfa Romeo,6,0
18,Antonio Giovinazzi,Alfa Romeo,1,0
19,Mick Schumacher,Haas F1 Team,0,0
20,Robert Kubica,Alfa Romeo,0,0
21,Nikita Mazepin,Haas F1 Team,0,0
