Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,223,7
2,Valtteri Bottas,Mercedes,184,2
3,Max Verstappen,Red Bull,136,1
4,Sebastian Vettel,Ferrari,123,0
5,Charles Leclerc,Ferrari,120,0
6,Pierre Gasly,Red Bull,55,0
7,Carlos Sainz,McLaren,38,0
8,Kimi Räikkönen,Alfa Romeo,25,0
9,Lando Norris,McLaren,22,0
10,Daniel Ricciardo,Renault,22,0
11,Nico Hülkenberg,Renault,17,0
12,Kevin Magnussen,Haas F1 Team,14,0
13,Sergio Pérez,Racing Point,13,0
14,Daniil Kvyat,Toro Rosso,12,0
15,Alexander Albon,Toro Rosso,7,0
16,Lance Stroll,Racing Point,6,0
17,Romain Grosjean,Haas F1 Team,2,0
18,Antonio Giovinazzi,Alfa Romeo,1,0
19,George Russell,Williams,0,0
20,Robert Kubica,Williams,0,0
