Position,Driver,Constructor,Points,Wins
1,Jenson Button,Brawn,89,6
2,Sebastian Vettel,Red Bull,74,3
3,Rubens Barrichello,Brawn,72,2
4,Mark Webber,Red Bull,61.5,2
5,Lewis Hamilton,McLaren,49,2
6,Kimi Räikkönen,Ferrari,48,1
7,Nico Rosberg,Williams,34.5,0
8,Jarno Trulli,Toyota,30.5,0
9,Fernando Alonso,Renault,26,0
10,Timo Glock,Toyota,24,0
11,Felipe Massa,Ferrari,22,0
12,Heikki Kovalainen,McLaren,22,0
13,Robert Kubica,BMW Sauber,17,0
14,Nick Heidfeld,BMW Sauber,15,0
15,Giancarlo Fisichella,Force India,8,0
16,Adrian Sutil,Force India,5,0
17,Sébastien Buemi,Toro Rosso,5,0
18,Sébastien Bourdais,Toro Rosso,2,0
19,Kazuki Nakajima,Williams,0,0
20,Nelson Piquet Jr.,Renault,0,0
21,Kamui Kobayashi,Toyota,0,0
22,Vitantonio Liuzzi,Force India,0,0
23,Romain Grosjean,Renault,0,0
24,Jaime Alguersuari,Toro Rosso,0,0
25,Luca Badoer,Ferrari,0,0
