Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,151,4
2,Nico Rosberg,Mercedes,134,2
3,Sebastian Vettel,Ferrari,108,1
4,Kimi Räikkönen,Ferrari,72,0
5,Valtteri Bottas,Williams,57,0
6,Felipe Massa,Williams,47,0
7,Daniel Ricciardo,Red Bull,35,0
8,Daniil Kvyat,Red Bull,19,0
9,Romain Grosjean,Lotus F1,17,0
10,Felipe Nasr,Sauber,16,0
11,Sergio Pérez,Force India,11,0
12,Nico Hülkenberg,Force India,10,0
13,Carlos Sainz,Toro Rosso,9,0
14,Max Verstappen,Toro Rosso,6,0
15,Pastor Maldonado,Lotus F1,6,0
16,Marcus Ericsson,Sauber,5,0
17,Jenson Button,McLaren,4,0
18,Fernando Alonso,McLaren,0,0
19,Roberto Merhi,Manor Marussia,0,0
20,Will Stevens,Manor Marussia,0,0
21,Kevin Magnussen,McLaren,0,0
