Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,79,1
2,Lewis Hamilton,Mercedes,75,3
3,Fernando Alonso,Ferrari,41,0
4,Nico Hülkenberg,Force India,36,0
5,Sebastian Vettel,Red Bull,33,0
6,Daniel Ricciardo,Red Bull,24,0
7,Valtteri Bottas,Williams,24,0
8,Jenson Button,McLaren,23,0
9,Kevin Magnussen,McLaren,20,0
10,Sergio Pérez,Force India,18,0
11,Felipe Massa,Williams,12,0
12,Kimi Räikkönen,Ferrari,11,0
13,Jean-Éric Vergne,Toro Rosso,4,0
14,Daniil Kvyat,Toro Rosso,4,0
15,Romain Grosjean,Lotus F1,0,0
16,Adrian Sutil,Sauber,0,0
17,Esteban Gutiérrez,Sauber,0,0
18,Max Chilton,Marussia,0,0
19,Kamui Kobayashi,Caterham,0,0
20,Pastor Maldonado,Lotus F1,0,0
21,Marcus Ericsson,Caterham,0,0
22,Jules Bianchi,Marussia,0,0
