Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,256,8
2,Valtteri Bottas,Mercedes,179,2
3,Max Verstappen,Red Bull,162,1
4,Daniel Ricciardo,Renault,80,0
5,Charles Leclerc,Ferrari,75,0
6,Sergio Pérez,Racing Point,74,0
7,Lando Norris,McLaren,65,0
8,Alexander Albon,Red Bull,64,0
9,Pierre Gasly,AlphaTauri,63,1
10,Carlos Sainz,McLaren,59,0
11,Lance Stroll,Racing Point,57,0
12,Esteban Ocon,Renault,40,0
13,Sebastian Vettel,Ferrari,18,0
14,Daniil Kvyat,AlphaTauri,14,0
15,Nico Hülkenberg,Racing Point,10,0
16,Antonio Giovinazzi,Alfa Romeo,3,0
17,Kimi Räikkönen,Alfa Romeo,2,0
18,Romain Grosjean,Haas F1 Team,2,0
19,Kevin Magnussen,Haas F1 Team,1,0
20,Nicholas Latifi,Williams,0,0
21,George Russell,Williams,0,0
