Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,309,9
2,Jenson Button,McLaren,185,2
3,Fernando Alonso,Ferrari,184,1
4,Mark Webber,Red Bull,182,0
5,Lewis Hamilton,McLaren,168,2
6,Felipe Massa,Ferrari,84,0
7,Nico Rosberg,Mercedes,62,0
8,Michael Schumacher,Mercedes,52,0
9,Vitaly Petrov,Renault,34,0
10,Nick Heidfeld,Renault,34,0
11,Adrian Sutil,Force India,28,0
12,Kamui Kobayashi,Sauber,27,0
13,Paul di Resta,Force India,20,0
14,Jaime Alguersuari,Toro Rosso,16,0
15,Sébastien Buemi,Toro Rosso,13,0
16,Sergio Pérez,Sauber,9,0
17,Rubens Barrichello,Williams,4,0
18,Bruno Senna,Renault,2,0
19,Pastor Maldonado,Williams,1,0
20,Pedro de la Rosa,Sauber,0,0
21,Jarno Trulli,Lotus,0,0
22,Heikki Kovalainen,Lotus,0,0
23,Vitantonio Liuzzi,HRT,0,0
24,Jérôme d'Ambrosio,Virgin,0,0
25,Timo Glock,Virgin,0,0
26,Narain Karthikeyan,HRT,0,0
27,Daniel Ricciardo,HRT,0,0
28,Karun Chandhok,Lotus,0,0
