Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,205,6
2,Valtteri Bottas,Mercedes,161,2
3,Max Verstappen,Red Bull,128,1
4,Lando Norris,McLaren,65,0
5,Alexander Albon,Red Bull,64,0
6,Daniel Ricciardo,Renault,63,0
7,Charles Leclerc,Ferrari,57,0
8,Lance Stroll,Racing Point,57,0
9,Sergio Pérez,Racing Point,56,0
10,Pierre Gasly,AlphaTauri,45,1
11,Carlos Sainz,McLaren,41,0
12,Esteban Ocon,Renault,36,0
13,Sebastian Vettel,Ferrari,17,0
14,Daniil Kvyat,AlphaTauri,14,0
15,Nico Hülkenberg,Racing Point,6,0
16,Kimi Räikkönen,Alfa Romeo,2,0
17,Antonio Giovinazzi,Alfa Romeo,2,0
18,Kevin Magnussen,Haas F1 Team,1,0
19,Nicholas Latifi,Williams,0,0
20,George Russell,Williams,0,0
21,Romain Grosjean,Haas F1 Team,0,0
