Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Renault,96,6
2,Michael Schumacher,Ferrari,79,4
3,Giancarlo Fisichella,Renault,46,1
4,Kimi Räikkönen,McLaren,43,0
5,Felipe Massa,Ferrari,42,0
6,Juan Pablo Montoya,McLaren,26,0
7,Jenson Button,Honda,16,0
8,Rubens Barrichello,Honda,16,0
9,Ralf Schumacher,Toyota,13,0
10,Nick Heidfeld,BMW Sauber,13,0
11,David Coulthard,Red Bull,10,0
12,Jarno Trulli,Toyota,8,0
13,Jacques Villeneuve,BMW Sauber,7,0
14,Mark Webber,Williams,6,0
15,Nico Rosberg,Williams,4,0
16,Pedro de la Rosa,McLaren,2,0
17,Vitantonio Liuzzi,Toro Rosso,1,0
18,Christian Klien,Red Bull,1,0
19,Scott Speed,Toro Rosso,0,0
20,Christijan Albers,MF1,0,0
21,Tiago Monteiro,MF1,0,0
22,Takuma Sato,Super Aguri,0,0
23,Yuji Ide,Super Aguri,0,0
24,Franck Montagny,Super Aguri,0,0
