Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,105,2
2,Lewis Hamilton,Mercedes,101,3
3,Sergio Pérez,Red Bull,69,1
4,Lando Norris,McLaren,66,0
5,Charles Leclerc,Ferrari,52,0
6,Valtteri Bottas,Mercedes,47,0
7,Carlos Sainz,Ferrari,42,0
8,Pierre Gasly,AlphaTauri,31,0
9,Sebastian Vettel,Aston Martin,28,0
10,Daniel Ricciardo,McLaren,26,0
11,Fernando Alonso,Alpine F1 Team,13,0
12,Esteban Ocon,Alpine F1 Team,12,0
13,Lance Stroll,Aston Martin,9,0
14,Yuki Tsunoda,AlphaTauri,8,0
15,Kimi Räikkönen,Alfa Romeo,1,0
16,Antonio Giovinazzi,Alfa Romeo,1,0
17,Mick Schumacher,Haas F1 Team,0,0
18,George Russell,Williams,0,0
19,Nikita Mazepin,Haas F1 Team,0,0
20,Nicholas Latifi,Williams,0,0
