Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,68,2
2,Sebastian Vettel,Ferrari,55,1
3,Nico Rosberg,Mercedes,51,0
4,Felipe Massa,Williams,30,0
5,Kimi Räikkönen,Ferrari,24,0
6,Valtteri Bottas,Williams,18,0
7,Felipe Nasr,Sauber,14,0
8,Daniel Ricciardo,Red Bull,11,0
9,Romain Grosjean,Lotus F1,6,0
10,Nico Hülkenberg,Force India,6,0
11,Max Verstappen,Toro Rosso,6,0
12,Carlos Sainz,Toro Rosso,6,0
13,Marcus Ericsson,Sauber,5,0
14,Daniil Kvyat,Red Bull,2,0
15,Sergio Pérez,Force India,1,0
16,Jenson Button,McLaren,0,0
17,Fernando Alonso,McLaren,0,0
18,Roberto Merhi,Manor Marussia,0,0
19,Will Stevens,Manor Marussia,0,0
20,Pastor Maldonado,Lotus F1,0,0
21,Kevin Magnussen,McLaren,0,0
