Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,363,9
2,Sebastian Vettel,Ferrari,317,5
3,Valtteri Bottas,Mercedes,305,3
4,Kimi Räikkönen,Ferrari,205,0
5,Daniel Ricciardo,Red Bull,200,1
6,Max Verstappen,Red Bull,168,2
7,Sergio Pérez,Force India,100,0
8,Esteban Ocon,Force India,87,0
9,Carlos Sainz,Toro Rosso,54,0
10,Nico Hülkenberg,Renault,43,0
11,Felipe Massa,Williams,43,0
12,Lance Stroll,Williams,40,0
13,Romain Grosjean,Haas F1 Team,28,0
14,Kevin Magnussen,Haas F1 Team,19,0
15,Fernando Alonso,McLaren,17,0
16,Stoffel Vandoorne,McLaren,13,0
17,Jolyon Palmer,Renault,8,0
18,Pascal Wehrlein,Sauber,5,0
19,Daniil Kvyat,Toro Rosso,5,0
20,Marcus Ericsson,Sauber,0,0
21,Pierre Gasly,Toro Rosso,0,0
22,Antonio Giovinazzi,Sauber,0,0
23,Brendon Hartley,Toro Rosso,0,0
24,Jenson Button,McLaren,0,0
25,Paul di Resta,Williams,0,0
