Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,331,9
2,Sebastian Vettel,Ferrari,264,5
3,Valtteri Bottas,Mercedes,207,0
4,Kimi Räikkönen,Ferrari,196,0
5,Max Verstappen,Red Bull,173,1
6,Daniel Ricciardo,Red Bull,146,2
7,Sergio Pérez,Force India,53,0
8,Kevin Magnussen,Haas F1 Team,53,0
9,Nico Hülkenberg,Renault,53,0
10,Fernando Alonso,McLaren,50,0
11,Esteban Ocon,Force India,49,0
12,Carlos Sainz,Renault,39,0
13,Romain Grosjean,Haas F1 Team,31,0
14,Pierre Gasly,Toro Rosso,28,0
15,Charles Leclerc,Sauber,21,0
16,Stoffel Vandoorne,McLaren,8,0
17,Lance Stroll,Williams,6,0
18,Marcus Ericsson,Sauber,6,0
19,Brendon Hartley,Toro Rosso,2,0
20,Sergey Sirotkin,Williams,1,0
