Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,220,4
2,Lewis Hamilton,Mercedes,191,5
3,Daniel Ricciardo,Red Bull,156,3
4,Fernando Alonso,Ferrari,121,0
5,Valtteri Bottas,Williams,110,0
6,Sebastian Vettel,Red Bull,98,0
7,Nico Hülkenberg,Force India,70,0
8,Jenson Button,McLaren,68,0
9,Felipe Massa,Williams,40,0
10,Kimi Räikkönen,Ferrari,39,0
11,Kevin Magnussen,McLaren,37,0
12,Sergio Pérez,Force India,33,0
13,Jean-Éric Vergne,Toro Rosso,11,0
14,Romain Grosjean,Lotus F1,8,0
15,Daniil Kvyat,Toro Rosso,8,0
16,Jules Bianchi,Marussia,2,0
17,Adrian Sutil,Sauber,0,0
18,Marcus Ericsson,Caterham,0,0
19,Pastor Maldonado,Lotus F1,0,0
20,Esteban Gutiérrez,Sauber,0,0
21,Max Chilton,Marussia,0,0
22,Kamui Kobayashi,Caterham,0,0
23,André Lotterer,Caterham,0,0
