Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,89,2
2,Kimi Räikkönen,Lotus F1,85,1
3,Fernando Alonso,Ferrari,72,2
4,Lewis Hamilton,Mercedes,50,0
5,Felipe Massa,Ferrari,45,0
6,Mark Webber,Red Bull,42,0
7,Romain Grosjean,Lotus F1,26,0
8,Paul di Resta,Force India,26,0
9,Nico Rosberg,Mercedes,22,0
10,Jenson Button,McLaren,17,0
11,Sergio Pérez,McLaren,12,0
12,Daniel Ricciardo,Toro Rosso,7,0
13,Adrian Sutil,Force India,6,0
14,Nico Hülkenberg,Sauber,5,0
15,Jean-Éric Vergne,Toro Rosso,1,0
16,Esteban Gutiérrez,Sauber,0,0
17,Valtteri Bottas,Williams,0,0
18,Pastor Maldonado,Williams,0,0
19,Jules Bianchi,Marussia,0,0
20,Charles Pic,Caterham,0,0
21,Giedo van der Garde,Caterham,0,0
22,Max Chilton,Marussia,0,0
