Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,282,9
2,Valtteri Bottas,Mercedes,197,2
3,Max Verstappen,Red Bull,162,1
4,Daniel Ricciardo,Renault,95,0
5,Charles Leclerc,Ferrari,85,0
6,Sergio Pérez,Racing Point,82,0
7,Lando Norris,McLaren,69,0
8,Carlos Sainz,McLaren,65,0
9,Alexander Albon,Red Bull,64,0
10,Pierre Gasly,AlphaTauri,63,1
11,Lance Stroll,Racing Point,57,0
12,Esteban Ocon,Renault,40,0
13,Daniil Kvyat,AlphaTauri,26,0
14,Sebastian Vettel,Ferrari,18,0
15,Nico Hülkenberg,Racing Point,10,0
16,Kimi Räikkönen,Alfa Romeo,4,0
17,Antonio Giovinazzi,Alfa Romeo,4,0
18,Romain Grosjean,Haas F1 Team,2,0
19,Kevin Magnussen,Haas F1 Team,1,0
20,Nicholas Latifi,Williams,0,0
21,George Russell,Williams,0,0
