Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,52,1
2,Kimi Räikkönen,Lotus F1,49,1
3,Fernando Alonso,Ferrari,43,1
4,Lewis Hamilton,Mercedes,40,0
5,Felipe Massa,Ferrari,30,0
6,Mark Webber,Red Bull,26,0
7,Nico Rosberg,Mercedes,12,0
8,Jenson Button,McLaren,12,0
9,Romain Grosjean,Lotus F1,11,0
10,Paul di Resta,Force India,8,0
11,Daniel Ricciardo,Toro Rosso,6,0
12,Adrian Sutil,Force India,6,0
13,Nico Hülkenberg,Sauber,5,0
14,Sergio Pérez,McLaren,2,0
15,Jean-Éric Vergne,Toro Rosso,1,0
16,Valtteri Bottas,Williams,0,0
17,Esteban Gutiérrez,Sauber,0,0
18,Jules Bianchi,Marussia,0,0
19,Charles Pic,Caterham,0,0
20,Pastor Maldonado,Williams,0,0
21,Giedo van der Garde,Caterham,0,0
22,Max Chilton,Marussia,0,0
