Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,195,4
2,Max Verstappen,Red Bull,187,5
3,Lando Norris,McLaren,113,0
4,Valtteri Bottas,Mercedes,108,0
5,Sergio Pérez,Red Bull,104,1
6,Carlos Sainz,Ferrari,83,0
7,Charles Leclerc,Ferrari,80,0
8,Pierre Gasly,AlphaTauri,50,0
9,Daniel Ricciardo,McLaren,50,0
10,Esteban Ocon,Alpine F1 Team,39,1
11,Fernando Alonso,Alpine F1 Team,38,0
12,Sebastian Vettel,Aston Martin,30,0
13,Yuki Tsunoda,AlphaTauri,18,0
14,Lance Stroll,Aston Martin,18,0
15,Nicholas Latifi,Williams,6,0
16,George Russell,Williams,4,0
17,Kimi Räikkönen,Alfa Romeo,2,0
18,Antonio Giovinazzi,Alfa Romeo,1,0
19,Mick Schumacher,Haas F1 Team,0,0
20,Nikita Mazepin,Haas F1 Team,0,0
