Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,224.5,7
2,Lewis Hamilton,Mercedes,221.5,4
3,Valtteri Bottas,Mercedes,123,0
4,Lando Norris,McLaren,114,0
5,Sergio Pérez,Red Bull,108,1
6,Charles Leclerc,Ferrari,92,0
7,Carlos Sainz,Ferrari,89.5,0
8,Pierre Gasly,AlphaTauri,66,0
9,Daniel Ricciardo,McLaren,56,0
10,Fernando Alonso,Alpine F1 Team,46,0
11,Esteban Ocon,Alpine F1 Team,44,1
12,Sebastian Vettel,Aston Martin,35,0
13,Yuki Tsunoda,AlphaTauri,18,0
14,Lance Stroll,Aston Martin,18,0
15,George Russell,Williams,13,0
16,Nicholas Latifi,Williams,7,0
17,Kimi Räikkönen,Alfa Romeo,2,0
18,Antonio Giovinazzi,Alfa Romeo,1,0
19,Mick Schumacher,Haas F1 Team,0,0
20,Nikita Mazepin,Haas F1 Team,0,0
21,Robert Kubica,Alfa Romeo,0,0
