Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,247,7
2,Fernando Alonso,Ferrari,187,2
3,Lewis Hamilton,Mercedes,151,1
4,Kimi Räikkönen,Lotus F1,149,1
5,Mark Webber,Red Bull,130,0
6,Nico Rosberg,Mercedes,116,2
7,Felipe Massa,Ferrari,87,0
8,Romain Grosjean,Lotus F1,57,0
9,Jenson Button,McLaren,54,0
10,Paul di Resta,Force India,36,0
11,Adrian Sutil,Force India,26,0
12,Sergio Pérez,McLaren,22,0
13,Nico Hülkenberg,Sauber,19,0
14,Daniel Ricciardo,Toro Rosso,18,0
15,Jean-Éric Vergne,Toro Rosso,13,0
16,Pastor Maldonado,Williams,1,0
17,Esteban Gutiérrez,Sauber,0,0
18,Valtteri Bottas,Williams,0,0
19,Jules Bianchi,Marussia,0,0
20,Charles Pic,Caterham,0,0
21,Giedo van der Garde,Caterham,0,0
22,Max Chilton,Marussia,0,0
