position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:33.928,1:32.669,1:32.571
2,5,Sebastian Vettel,Ferrari,1:34.919,1:33.623,1:32.982
3,6,Nico Rosberg,Mercedes,1:34.398,1:33.878,1:33.129
4,7,Kimi Räikkönen,Ferrari,1:34.568,1:33.540,1:33.227
5,77,Valtteri Bottas,Williams,1:34.161,1:33.897,1:33.381
6,19,Felipe Massa,Williams,1:34.488,1:33.551,1:33.744
7,3,Daniel Ricciardo,Red Bull,1:34.691,1:34.403,1:33.832
8,27,Nico Hülkenberg,Force India,1:35.653,1:34.613,1:34.450
9,55,Carlos Sainz,Toro Rosso,1:35.371,1:34.641,1:34.462
10,8,Romain Grosjean,Lotus F1,1:35.007,1:34.123,1:34.484
11,11,Sergio Pérez,Force India,1:35.451,1:34.704,
12,12,Felipe Nasr,Sauber,1:35.310,1:34.737,
13,9,Marcus Ericsson,Sauber,1:35.438,1:35.034,
14,14,Fernando Alonso,McLaren,1:35.205,1:35.039,
15,33,Max Verstappen,Toro Rosso,1:35.611,1:35.103,
16,13,Pastor Maldonado,Lotus F1,1:35.677,,
17,26,Daniil Kvyat,Red Bull,1:35.800,,
18,28,Will Stevens,Manor Marussia,1:38.713,,
19,98,Roberto Merhi,Manor Marussia,1:39.722,,
