Position,Driver,Constructor,Points,Wins
1,Mika Häkkinen,McLaren,77,6
2,Michael Schumacher,Ferrari,70,5
3,David Coulthard,McLaren,48,1
4,Eddie Irvine,Ferrari,32,0
5,Jacques Villeneuve,Williams,20,0
6,Alexander Wurz,Benetton,17,0
7,Giancarlo Fisichella,Benetton,15,0
8,Heinz-Harald Frentzen,Williams,10,0
9,Damon Hill,Jordan,6,0
10,Rubens Barrichello,Stewart,4,0
11,Ralf Schumacher,Jordan,4,0
12,Mika Salo,Arrows,3,0
13,Jean Alesi,Sauber,3,0
14,Johnny Herbert,Sauber,1,0
15,Pedro Diniz,Arrows,1,0
16,Jan Magnussen,Stewart,1,0
17,Shinji Nakano,Minardi,0,0
18,Ricardo Rosset,Tyrrell,0,0
19,Esteban Tuero,Minardi,0,0
20,Jarno Trulli,Prost,0,0
21,Olivier Panis,Prost,0,0
22,Toranosuke Takagi,Tyrrell,0,0
23,Jos Verstappen,Stewart,0,0
