Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,45,0
2,Jenson Button,McLaren,43,1
3,Fernando Alonso,Ferrari,37,1
4,Mark Webber,Red Bull,36,0
5,Sebastian Vettel,Red Bull,28,0
6,Nico Rosberg,Mercedes,25,1
7,Sergio Pérez,Sauber,22,0
8,Kimi Räikkönen,Lotus F1,16,0
9,Bruno Senna,Williams,14,0
10,Kamui Kobayashi,Sauber,9,0
11,Romain Grosjean,Lotus F1,8,0
12,Paul di Resta,Force India,7,0
13,Jean-Éric Vergne,Toro Rosso,4,0
14,Pastor Maldonado,Williams,4,0
15,Daniel Ricciardo,Toro Rosso,2,0
16,Nico Hülkenberg,Force India,2,0
17,Michael Schumacher,Mercedes,1,0
18,Felipe Massa,Ferrari,0,0
19,Timo Glock,Marussia,0,0
20,Charles Pic,Marussia,0,0
21,Vitaly Petrov,Caterham,0,0
22,Heikki Kovalainen,Caterham,0,0
23,Pedro de la Rosa,HRT,0,0
24,Narain Karthikeyan,HRT,0,0
