Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,94,5
2,Felipe Massa,Ferrari,87,5
3,Robert Kubica,BMW Sauber,75,1
4,Kimi Räikkönen,Ferrari,69,2
5,Nick Heidfeld,BMW Sauber,60,0
6,Fernando Alonso,Renault,53,2
7,Heikki Kovalainen,McLaren,51,1
8,Sebastian Vettel,Toro Rosso,30,1
9,Jarno Trulli,Toyota,30,0
10,Timo Glock,Toyota,22,0
11,Mark Webber,Red Bull,21,0
12,Nelson Piquet Jr.,Renault,19,0
13,Nico Rosberg,Williams,17,0
14,Rubens Barrichello,Honda,11,0
15,Kazuki Nakajima,Williams,9,0
16,David Coulthard,Red Bull,8,0
17,Sébastien Bourdais,Toro Rosso,4,0
18,Jenson Button,Honda,3,0
19,Giancarlo Fisichella,Force India,0,0
20,Adrian Sutil,Force India,0,0
21,Takuma Sato,Super Aguri,0,0
22,Anthony Davidson,Super Aguri,0,0
