Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,347,11
2,Fernando Alonso,Ferrari,217,2
3,Kimi Räikkönen,Lotus F1,183,1
4,Lewis Hamilton,Mercedes,175,1
5,Mark Webber,Red Bull,166,0
6,Nico Rosberg,Mercedes,159,2
7,Romain Grosjean,Lotus F1,114,0
8,Felipe Massa,Ferrari,106,0
9,Jenson Button,McLaren,60,0
10,Paul di Resta,Force India,48,0
11,Nico Hülkenberg,Sauber,39,0
12,Sergio Pérez,McLaren,35,0
13,Adrian Sutil,Force India,29,0
14,Daniel Ricciardo,Toro Rosso,19,0
15,Jean-Éric Vergne,Toro Rosso,13,0
16,Esteban Gutiérrez,Sauber,6,0
17,Pastor Maldonado,Williams,1,0
18,Valtteri Bottas,Williams,0,0
19,Jules Bianchi,Marussia,0,0
20,Charles Pic,Caterham,0,0
21,Giedo van der Garde,Caterham,0,0
22,Max Chilton,Marussia,0,0
