Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,202,5
2,Nico Rosberg,Mercedes,181,3
3,Sebastian Vettel,Ferrari,160,2
4,Valtteri Bottas,Williams,77,0
5,Kimi Räikkönen,Ferrari,76,0
6,Felipe Massa,Williams,74,0
7,Daniel Ricciardo,Red Bull,51,0
8,Daniil Kvyat,Red Bull,45,0
9,Nico Hülkenberg,Force India,24,0
10,Romain Grosjean,Lotus F1,23,0
11,Max Verstappen,Toro Rosso,22,0
12,Felipe Nasr,Sauber,16,0
13,Sergio Pérez,Force India,15,0
14,Pastor Maldonado,Lotus F1,12,0
15,Fernando Alonso,McLaren,11,0
16,Carlos Sainz,Toro Rosso,9,0
17,Jenson Button,McLaren,6,0
18,Marcus Ericsson,Sauber,6,0
19,Roberto Merhi,Manor Marussia,0,0
20,Will Stevens,Manor Marussia,0,0
21,Kevin Magnussen,McLaren,0,0
