Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,84,4
2,Felipe Massa,Ferrari,79,5
3,Robert Kubica,BMW Sauber,72,1
4,Kimi Räikkönen,Ferrari,63,2
5,Nick Heidfeld,BMW Sauber,56,0
6,Heikki Kovalainen,McLaren,51,1
7,Fernando Alonso,Renault,48,2
8,Sebastian Vettel,Toro Rosso,30,1
9,Jarno Trulli,Toyota,30,0
10,Mark Webber,Red Bull,21,0
11,Timo Glock,Toyota,20,0
12,Nelson Piquet Jr.,Renault,18,0
13,Nico Rosberg,Williams,17,0
14,Rubens Barrichello,Honda,11,0
15,Kazuki Nakajima,Williams,9,0
16,David Coulthard,Red Bull,8,0
17,Sébastien Bourdais,Toro Rosso,4,0
18,Jenson Button,Honda,3,0
19,Giancarlo Fisichella,Force India,0,0
20,Adrian Sutil,Force India,0,0
21,Takuma Sato,Super Aguri,0,0
22,Anthony Davidson,Super Aguri,0,0
