position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:14.907,1:14.261,1:13.447
2,77,Valtteri Bottas,Mercedes,1:15.474,1:14.530,1:13.554
3,18,Lance Stroll,Racing Point,1:14.895,1:15.176,1:14.377
4,11,Sergio Pérez,Racing Point,1:14.681,1:15.394,1:14.545
5,5,Sebastian Vettel,Ferrari,1:15.455,1:15.131,1:14.774
6,16,Charles Leclerc,Ferrari,1:15.793,1:15.006,1:14.817
7,33,Max Verstappen,Red Bull,1:15.495,1:14.976,1:14.849
8,4,Lando Norris,McLaren,1:15.444,1:15.085,1:14.966
9,55,Carlos Sainz,McLaren,1:15.281,1:15.267,1:15.027
10,10,Pierre Gasly,AlphaTauri,1:15.767,1:15.508,
11,3,Daniel Ricciardo,Renault,1:15.848,1:15.661,
12,63,George Russell,Williams,1:15.585,1:15.698,
13,23,Alexander Albon,Red Bull,1:15.722,1:15.715,
14,31,Esteban Ocon,Renault,1:15.719,1:15.742,
15,6,Nicholas Latifi,Williams,1:16.105,1:16.544,
16,20,Kevin Magnussen,Haas F1 Team,1:16.152,,
17,26,Daniil Kvyat,AlphaTauri,1:16.204,,
18,8,Romain Grosjean,Haas F1 Team,1:16.407,,
19,99,Antonio Giovinazzi,Alfa Romeo,1:16.506,,
20,7,Kimi Räikkönen,Alfa Romeo,1:16.614,,
