Position,Driver,Constructor,Points,Wins
1,Nino Farina,Alfa Romeo,30,3
2,Juan Fangio,Alfa Romeo,27,3
3,Luigi Fagioli,Alfa Romeo,24,0
4,Louis Rosier,Talbot-Lago,13,0
5,Alberto Ascari,Ferrari,11,0
6,Johnnie Parsons,Kurtis Kraft,9,1
7,Bill Holland,Deidt,6,0
8,Prince Bira,Maserati,5,0
9,Peter Whitehead,Ferrari,4,0
10,Louis Chiron,Maserati,4,0
11,Reg Parnell,Alfa Romeo,4,0
12,Mauri Rose,Deidt,4,0
13,Dorino Serafini,Ferrari,3,0
14,Yves Cabantous,Talbot-Lago,3,0
15,Raymond Sommer,Ferrari,3,0
16,Robert Manzon,Simca,3,0
17,Cecil Green,Kurtis Kraft,3,0
18,Philippe Étancelin,Talbot-Lago,3,0
19,Felice Bonetto,Maserati,2,0
20,Eugène Chaboud,Talbot-Lago,1,0
21,Tony Bettenhausen,Deidt,1,0
22,Joie Chitwood,Kurtis Kraft,1,0
23,Toulo de Graffenried,Maserati,0,0
24,Bob Gerard,ERA,0,0
25,Luigi Villoresi,Ferrari,0,0
26,Charles Pozzi,Talbot-Lago,0,0
27,Lee Wallard,Moore,0,0
28,Johnny Claes,Talbot-Lago,0,0
29,Pierre Levegh,Talbot-Lago,0,0
30,Cuth Harrison,ERA,0,0
