Position,Driver,Constructor,Points,Wins
1,Nico Rosberg,Mercedes,75,3
2,Lewis Hamilton,Mercedes,39,0
3,Daniel Ricciardo,Red Bull,36,0
4,Sebastian Vettel,Ferrari,33,0
5,Kimi Räikkönen,Ferrari,28,0
6,Felipe Massa,Williams,22,0
7,Daniil Kvyat,Red Bull,21,0
8,Romain Grosjean,Haas F1 Team,18,0
9,Max Verstappen,Toro Rosso,13,0
10,Valtteri Bottas,Williams,7,0
11,Nico Hülkenberg,Force India,6,0
12,Carlos Sainz,Toro Rosso,4,0
13,Stoffel Vandoorne,McLaren,1,0
14,Kevin Magnussen,Renault,0,0
15,Sergio Pérez,Force India,0,0
16,Jolyon Palmer,Renault,0,0
17,Marcus Ericsson,Sauber,0,0
18,Fernando Alonso,McLaren,0,0
19,Jenson Button,McLaren,0,0
20,Pascal Wehrlein,Manor Marussia,0,0
21,Felipe Nasr,Sauber,0,0
22,Esteban Gutiérrez,Haas F1 Team,0,0
23,Rio Haryanto,Manor Marussia,0,0
