Position,Driver,Constructor,Points,Wins
1,Max Verstappen,Red Bull,433,14
2,Sergio Pérez,Red Bull,224,2
3,Lewis Hamilton,Mercedes,194,0
4,Fernando Alonso,Aston Martin,183,0
5,Carlos Sainz,Ferrari,153,1
6,Charles Leclerc,Ferrari,145,0
7,Lando Norris,McLaren,136,0
8,George Russell,Mercedes,132,0
9,Oscar Piastri,McLaren,83,0
10,Lance Stroll,Aston Martin,47,0
11,Pierre Gasly,Alpine F1 Team,46,0
12,Esteban Ocon,Alpine F1 Team,44,0
13,Alexander Albon,Williams,23,0
14,Valtteri Bottas,Alfa Romeo,10,0
15,Nico Hülkenberg,Haas F1 Team,9,0
16,Guanyu Zhou,Alfa Romeo,6,0
17,Yuki Tsunoda,AlphaTauri,3,0
18,Kevin Magnussen,Haas F1 Team,3,0
19,Liam Lawson,AlphaTauri,2,0
20,Logan Sargeant,Williams,0,0
21,Nyck de Vries,AlphaTauri,0,0
22,Daniel Ricciardo,AlphaTauri,0,0
