Position,Driver,Constructor,Points,Wins
1,Jenson Button,Brawn,84,6
2,Rubens Barrichello,Brawn,69,2
3,Sebastian Vettel,Red Bull,59,2
4,Mark Webber,Red Bull,51.5,1
5,Kimi Räikkönen,Ferrari,40,1
6,Lewis Hamilton,McLaren,37,2
7,Nico Rosberg,Williams,30.5,0
8,Fernando Alonso,Renault,26,0
9,Timo Glock,Toyota,24,0
10,Jarno Trulli,Toyota,22.5,0
11,Felipe Massa,Ferrari,22,0
12,Heikki Kovalainen,McLaren,22,0
13,Nick Heidfeld,BMW Sauber,12,0
14,Robert Kubica,BMW Sauber,9,0
15,Giancarlo Fisichella,Force India,8,0
16,Adrian Sutil,Force India,5,0
17,Sébastien Buemi,Toro Rosso,3,0
18,Sébastien Bourdais,Toro Rosso,2,0
19,Kazuki Nakajima,Williams,0,0
20,Nelson Piquet Jr.,Renault,0,0
21,Luca Badoer,Ferrari,0,0
22,Vitantonio Liuzzi,Force India,0,0
23,Romain Grosjean,Renault,0,0
24,Jaime Alguersuari,Toro Rosso,0,0
